Region,MeanAUC,MaxAUC,N
T1Gd_Ring5,0.5981971153846154,0.7141025641025641,56
T1Gd_Ring10,0.5912431318681318,0.6961538461538461,56
FLAIR_Tumor,0.5711939102564102,0.6461538461538461,56
FLAIR_Ring5,0.5702896062271062,0.6262820512820513,56
FLAIR_Ring10,0.5701236263736263,0.6698717948717948,56
T1Gd_Tumor,0.5555460164835165,0.639102564102564,56
